lemma,seed_class,role,family,locative_compound,source,reason
sufficient,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
that,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
these,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
this,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
those,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
the,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
us_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
we_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
you_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
what_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whatever_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
which_rel_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
which_int_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whichever_rel_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whichever_int_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
zero_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
various_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
each_other,pronoun,target,reciprocal,0,"CGEL Ch. 5 sec. 10.1.2, p. 428",Reciprocal target; never used as an anchor.
one_another,pronoun,target,reciprocal,0,"CGEL Ch. 5 sec. 10.1.2, p. 428",Reciprocal target; never used as an anchor.
he,pronoun,pronoun_anchor,P:he,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
him,pronoun,pronoun_anchor,P:he,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
himself,pronoun,pronoun_anchor,P:he,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
his,pronoun,pronoun_anchor,P:he,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
she,pronoun,pronoun_anchor,P:she,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
her_acc,pronoun,pronoun_anchor,P:she,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
her_dep,pronoun,pronoun_anchor,P:she,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
hers,pronoun,pronoun_anchor,P:she,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
herself,pronoun,pronoun_anchor,P:she,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
it_plain,pronoun,pronoun_anchor,P:it,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
it_dum,pronoun,pronoun_anchor,P:it,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
its,pronoun,pronoun_anchor,P:it,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
itself,pronoun,pronoun_anchor,P:it,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
I,pronoun,pronoun_anchor,P:I,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
me,pronoun,pronoun_anchor,P:I,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
mine,pronoun,pronoun_anchor,P:I,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
my,pronoun,pronoun_anchor,P:I,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
myself,pronoun,pronoun_anchor,P:I,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
one_pron,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
one_s,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
oneself,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
their_sing,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
theirs_sing,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
their_plur,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
theirs_plur,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
them_sing,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
them_plur,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
themself,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
themselves,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
they_sing,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
they_plur,pronoun,pronoun_anchor,P:they,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
we_pron,pronoun,pronoun_anchor,P:we,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
us_pron,pronoun,pronoun_anchor,P:we,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
our,pronoun,pronoun_anchor,P:we,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
ours,pronoun,pronoun_anchor,P:we,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
ourselves,pronoun,pronoun_anchor,P:we,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
what_pron,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whatever_pron,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
which_rel_pron,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
who_int,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
who_rel,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whom_int,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whom_rel,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whose_int,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whose_rel,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whoever,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whoever_s,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whosever,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whosoever,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
whosoever_s,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
you_pron_sing,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
you_pron_plur,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
your_sing,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
yours_sing,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
your_plur,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
yours_plur,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
yourself,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
yourselves,pronoun,pronoun_anchor,P:you,0,"CGEL Ch. 5 sec. 10.1.1, pp. 425-427","Core personal-pronoun paradigm; includes reflexive, genitive and recorded reading/number distinctions."
today,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
tomorrow,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
tonight,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
yesterday,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
there,pronoun,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
